Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.5615,2.5974,2.5256,2.5256,2.5256,11266827
2000-01-04,2.5256,2.5256,2.4777,2.5017,2.5017,8959246
2000-01-05,2.4179,2.4657,2.3819999999999997,2.4298,2.4298,34448060
2000-01-06,2.4418,2.4777,2.3939,2.4325,2.4325,40607527
2000-01-07,2.4418,2.5376,2.4418,2.5376,2.5376,40389303
2000-01-10,2.5615,2.5854,2.5376,2.5615,2.5615,28856628
2000-01-11,2.5615,2.6094,2.4538,2.4897,2.4897,20310537
2000-01-12,2.4657,2.4777,2.4298,2.4538,2.4538,35076798
2000-01-13,2.4538,2.4777,2.4298,2.4418,2.4418,21176923
2000-01-14,2.4897,2.5615,2.4538,2.5256,2.5256,41261621
2000-01-17,2.5376,2.5495,2.4657,2.5017,2.5017,16481844
2000-01-18,2.4897,2.5017,2.4538,2.4897,2.4897,18992248
2000-01-19,2.4657,2.4777,2.4298,2.4298,2.4298,34920832
2000-01-20,2.4298,2.4777,2.4298,2.4657,2.4657,21276579
2000-01-21,2.4538,2.4538,2.4418,2.4418,2.4418,19895949
2000-01-24,2.4657,2.4657,2.4179,2.4298,2.4298,25483898
2000-01-25,2.3939,2.4298,2.3939,2.4179,2.4179,21656801
2000-01-26,2.4538,2.4538,2.4179,2.4418,2.4418,10397722
2000-01-27,2.4538,2.4657,2.4179,2.4298,2.4298,14739778
2000-01-28,2.4418,2.4418,2.4059,2.4059,2.4059,32696323
2000-01-31,2.3939,2.4179,2.3819999999999997,2.3819999999999997,2.3819999999999997,40823023
2000-02-01,2.4059,2.4059,2.37,2.3939,2.3939,18898586
2000-02-02,2.3939,2.4777,2.3939,2.4179,2.4179,17780596
2000-02-03,2.4298,2.4538,2.3939,2.4059,2.4059,17679624
2000-02-08,2.4059,2.4059,2.3221,2.346,2.346,24943872
2000-02-09,2.3221,2.37,2.3101,2.3341,2.3341,32283766
2000-02-10,2.3341,2.358,2.3221,2.358,2.358,20687475
2000-02-11,2.346,2.346,2.2503,2.2982,2.2982,32170450
2000-02-14,2.2862,2.3101,2.0827,2.1067,2.1067,73435876
2000-02-15,2.1067,2.2623,2.1067,2.1545,2.1545,77452349
2000-02-16,2.1785,2.3221,2.1785,2.2982,2.2982,37197545
2000-02-17,2.2982,2.3341,2.2623,2.3101,2.3101,25174163
2000-02-18,2.3101,2.3101,2.2024,2.2264,2.2264,22932056
2000-02-21,2.2503,2.2503,2.2024,2.2264,2.2264,17950322
2000-02-22,2.2383,2.2383,2.1785,2.2264,2.2264,21300716
2000-02-23,2.2144,2.2503,2.2144,2.2264,2.2264,14087342
2000-02-24,2.2264,2.3221,2.2144,2.2623,2.2623,12998551
2000-02-25,2.2862,2.2862,2.2144,2.2144,2.2144,12418269
2000-02-28,2.2144,2.2383,2.1186,2.1665,2.1665,37952118
2000-02-29,2.1665,2.2144,2.1545,2.1785,2.1785,29730859
2000-03-01,2.2144,2.3101,2.2024,2.2982,2.2982,47001885
2000-03-02,2.3101,2.3341,2.2264,2.2264,2.2264,21206535
2000-03-03,2.2383,2.2982,2.2024,2.2503,2.2503,15239944
2000-03-06,2.2982,2.2982,2.2503,2.2742,2.2742,23331772
2000-03-07,2.2742,2.2742,2.2144,2.2503,2.2503,21401153
2000-03-08,2.2024,2.2503,2.2024,2.2383,2.2383,15626494
2000-03-09,2.2742,2.2742,2.2264,2.2383,2.2383,23806587
2000-03-10,2.2503,2.2742,2.2383,2.2503,2.2503,15915013
2000-03-13,2.2264,2.2503,2.2144,2.2383,2.2383,26470000
2000-03-14,2.2383,2.2383,2.2024,2.2144,2.2144,23647714
2000-03-15,2.2024,2.2264,2.1785,2.2144,2.2144,18898452
2000-03-16,2.2742,2.2982,2.2264,2.2742,2.2742,22955043
2000-03-17,2.2862,2.3101,2.2503,2.2623,2.2623,19961687
2000-03-20,2.2264,2.2623,2.2024,2.2024,2.2024,21515693
2000-03-21,2.2264,2.2623,2.2024,2.2024,2.2024,19725050
2000-03-22,2.2144,2.2383,2.2024,2.2144,2.2144,26992034
2000-03-23,2.2264,2.2264,2.2024,2.2264,2.2264,14759958
2000-03-24,2.2264,2.2623,2.2264,2.2503,2.2503,16022418
2000-03-27,2.2742,2.2862,2.2383,2.2383,2.2383,29150639
2000-03-28,2.2623,2.2623,2.2383,2.2623,2.2623,22830156
2000-03-29,2.2623,2.2623,2.2383,2.2503,2.2503,20789872
2000-03-30,2.2503,2.2982,2.2503,2.2862,2.2862,26767737
2000-03-31,2.2862,2.346,2.2862,2.3341,2.3341,23017054
2000-04-03,2.358,2.4059,2.3341,2.3341,2.3341,33134809
2000-04-05,2.37,2.4059,2.346,2.37,2.37,42606527
2000-04-06,2.3939,2.4777,2.3819999999999997,2.4777,2.4777,43210424
2000-04-07,2.4897,2.5017,2.3939,2.3939,2.3939,34333566
2000-04-10,2.4179,2.4179,2.3939,2.3939,2.3939,16876276
2000-04-11,2.4059,2.4059,2.3819999999999997,2.4059,2.4059,16783550
2000-04-12,2.3939,2.4538,2.3939,2.4418,2.4418,32365494
2000-04-13,2.4179,2.4418,2.4059,2.4179,2.4179,34045094
2000-04-14,2.3832,2.3832,2.3173,2.3568,2.3568,26543446
2000-04-17,2.2647,2.2778,2.2252,2.2383,2.2383,29606769
2000-04-18,2.3042,2.3173,2.2778,2.291,2.291,14717497
2000-04-19,2.3305,2.37,2.3173,2.3305,2.3305,27229422
2000-04-20,2.3437,2.3568,2.3042,2.3173,2.3173,13182366
2000-04-25,2.3173,2.3568,2.3173,2.3305,2.3305,8271329
2000-04-26,2.37,2.37,2.2647,2.291,2.291,19853186
2000-04-27,2.291,2.3305,2.291,2.3173,2.3173,14035550
2000-04-28,2.3173,2.3173,2.2383,2.2383,2.2383,21295369
2000-05-02,2.3042,2.3042,2.2119999999999997,2.2252,2.2252,16554513
2000-05-03,2.2119999999999997,2.2383,2.1857,2.2252,2.2252,16747358
2000-05-04,2.2119999999999997,2.3042,2.2119999999999997,2.3042,2.3042,23524250
2000-05-05,2.3042,2.3173,2.2778,2.291,2.291,13132824
2000-05-08,2.3173,2.3305,2.2515,2.3042,2.3042,17917963
2000-05-09,2.3042,2.3437,2.291,2.3305,2.3305,35947196
2000-05-10,2.3042,2.3173,2.2647,2.2797,2.2797,30530537
2000-05-12,2.291,2.3173,2.2647,2.3173,2.3173,28376384
2000-05-15,2.37,2.37,2.291,2.3173,2.3173,15580280
2000-05-16,2.3173,2.3305,2.291,2.291,2.291,39002746
2000-05-17,2.3305,2.3437,2.291,2.291,2.291,34605851
2000-05-18,2.291,2.3042,2.2383,2.2647,2.2647,25362322
2000-05-19,2.2647,2.3173,2.2515,2.2515,2.2515,20868747
2000-05-22,2.3042,2.3173,2.2778,2.3173,2.3173,21192195
2000-05-23,2.3173,2.3305,2.2647,2.3305,2.3305,19391806
2000-05-24,2.3042,2.3305,2.2647,2.3173,2.3173,22302997
2000-05-25,2.3305,2.3305,2.2647,2.3042,2.3042,19681703
2000-05-26,2.291,2.291,2.2515,2.291,2.291,25920064
2000-05-29,2.291,2.291,2.2119999999999997,2.2383,2.2383,25118226
2000-05-30,2.2383,2.2647,2.1462,2.1988,2.1988,27925727
2000-05-31,2.2383,2.2515,2.1988,2.2252,2.2252,31289801
2000-06-01,2.2383,2.2515,2.1988,2.2515,2.2515,31673633
2000-06-02,2.2778,2.37,2.2647,2.291,2.291,53967167
2000-06-05,2.3568,2.37,2.2515,2.291,2.291,34424042
2000-06-07,2.291,2.3437,2.291,2.3305,2.3305,23952991
2000-06-08,2.3568,2.3568,2.3042,2.3305,2.3305,21896825
2000-06-09,2.3305,2.3437,2.3042,2.3305,2.3305,9659473
2000-06-12,2.3305,2.37,2.3173,2.3173,2.3173,16899827
2000-06-13,2.3173,2.3173,2.2647,2.2647,2.2647,20324327
2000-06-14,2.2778,2.3042,2.2647,2.2647,2.2647,13791503
2000-06-15,2.291,2.37,2.2778,2.3518,2.3518,28639364
2000-06-16,2.3173,2.3437,2.2647,2.3042,2.3042,18140766
2000-06-19,2.3173,2.3173,2.2778,2.291,2.291,16155776
2000-06-20,2.3305,2.3437,2.291,2.291,2.291,14063678
2000-06-21,2.3305,2.3305,2.2647,2.2778,2.2778,21252135
2000-06-22,2.291,2.3042,2.2252,2.2252,2.2252,36654438
2000-06-23,2.2252,2.3042,2.2252,2.2778,2.2778,18357796
2000-06-26,2.3173,2.3173,2.2647,2.2647,2.2647,8260126
2000-06-27,2.2778,2.2778,2.2383,2.2515,2.2515,14346139
2000-06-28,2.2778,2.3042,2.2647,2.3042,2.3042,11265435
2000-06-29,2.3042,2.3042,2.2383,2.2647,2.2647,39834925
2000-06-30,2.2778,2.3173,2.2647,2.3173,2.3173,24527347
2000-07-03,2.3042,2.3173,2.2778,2.3042,2.3042,14033962
2000-07-04,2.291,2.3173,2.2778,2.291,2.291,15080104
2000-07-05,2.291,2.3173,2.2778,2.3042,2.3042,27606001
2000-07-06,2.3042,2.3042,2.2647,2.2778,2.2778,24159161
2000-07-07,2.291,2.3042,2.2252,2.2515,2.2515,63875327
2000-07-10,2.2647,2.2778,2.2383,2.2515,2.2515,26054545
2000-07-11,2.2383,2.3305,2.2383,2.3173,2.3173,49992266
2000-07-12,2.3173,2.3568,2.3173,2.3437,2.3437,35338647
2000-07-13,2.3568,2.3568,2.2515,2.3107,2.3107,27297955
2000-07-14,2.2647,2.3042,2.2515,2.2647,2.2647,17876202
2000-07-17,2.2778,2.3305,2.2778,2.3305,2.3305,18977852
2000-07-18,2.3042,2.3568,2.3042,2.3173,2.3173,25845420
2000-07-19,2.3173,2.3832,2.3173,2.3832,2.3832,40958943
2000-07-20,2.37,2.5017,2.3568,2.4753,2.4753,51084358
2000-07-21,2.4753,2.4885,2.4095,2.4622,2.4622,38125163
2000-07-24,2.449,2.4885,2.3963,2.4227,2.4227,17786364
2000-07-25,2.37,2.449,2.3437,2.37,2.37,22550286
2000-07-26,2.449,2.449,2.4227,2.449,2.449,18707941
2000-07-27,2.449,2.5148,2.4227,2.5148,2.5148,38862234
2000-07-28,2.5017,2.5017,2.449,2.4753,2.4753,37119362
2000-07-31,2.528,2.528,2.3963,2.4095,2.4095,26639838
2000-08-01,2.4227,2.449,2.4095,2.4358,2.4358,11409994
2000-08-02,2.4227,2.4753,2.4095,2.4753,2.4753,24524096
2000-08-03,2.4622,2.4622,2.3963,2.4358,2.4358,15510156
2000-08-04,2.449,2.4622,2.4358,2.449,2.449,26277834
2000-08-07,2.4622,2.4622,2.4358,2.4358,2.4358,11266251
2000-08-08,2.4358,2.4753,2.3963,2.4753,2.4753,18378413
2000-08-09,2.4753,2.4885,2.4227,2.4227,2.4227,8957438
2000-08-10,2.4227,2.449,2.4095,2.4358,2.4358,5378756
2000-08-11,2.4358,2.4753,2.4358,2.4753,2.4753,9788839
2000-08-14,2.4753,2.4885,2.4622,2.4753,2.4753,28772835
2000-08-15,2.4753,2.4885,2.4622,2.4885,2.4885,10542475
2000-08-16,2.4885,2.4885,2.449,2.4622,2.4622,9734242
2000-08-17,2.449,2.449,2.4227,2.4358,2.4358,11767096
2000-08-18,2.449,2.4622,2.4358,2.449,2.449,6799100
2000-08-21,2.449,2.4753,2.449,2.4622,2.4622,5594344
2000-08-22,2.4753,2.4885,2.449,2.4622,2.4622,25022863
2000-08-23,2.4622,2.4622,2.4095,2.4227,2.4227,19564409
2000-08-24,2.4095,2.5017,2.4095,2.4227,2.4227,27156962
2000-08-25,2.4885,2.4885,2.449,2.4622,2.4622,14283264
2000-08-28,2.4753,2.4753,2.449,2.449,2.449,9078828
2000-08-29,2.4622,2.5017,2.4622,2.5017,2.5017,16857234
2000-08-30,2.4885,2.528,2.4753,2.528,2.528,35528169
2000-08-31,2.528,2.5675,2.5017,2.5412,2.5412,30220733
2000-09-01,2.5675,2.6202,2.5412,2.6069999999999998,2.6069999999999998,37636885
2000-09-04,2.6069999999999998,2.6465,2.5938,2.6202,2.6202,25715375
2000-09-05,2.6202,2.6465,2.5938,2.6333,2.6333,22370661
2000-09-06,2.6069999999999998,2.6202,2.5938,2.6069999999999998,2.6069999999999998,20400052
2000-09-07,2.5938,2.6202,2.5938,2.6069999999999998,2.6069999999999998,19950011
2000-09-08,2.6069999999999998,2.6069999999999998,2.5412,2.5807,2.5807,20120891
2000-09-11,2.5543,2.5807,2.528,2.5807,2.5807,10423473
2000-09-12,2.5543,2.5807,2.5148,2.5807,2.5807,27901879
2000-09-14,2.5807,2.5938,2.5675,2.5807,2.5807,25513333
2000-09-15,2.5938,2.6333,2.5675,2.6069999999999998,2.6069999999999998,37028290
2000-09-18,2.5675,2.6333,2.5412,2.5675,2.5675,50165629
2000-09-19,2.5807,2.6333,2.5807,2.6202,2.6202,40822696
2000-09-20,2.6202,2.6333,2.5675,2.5675,2.5675,25729654
2000-09-21,2.6202,2.6202,2.5543,2.5807,2.5807,21921451
2000-09-22,2.5807,2.6069999999999998,2.5675,2.5938,2.5938,35898519
2000-09-25,2.6069999999999998,2.6202,2.5807,2.6069999999999998,2.6069999999999998,30409427
2000-09-26,2.5938,2.6069999999999998,2.5807,2.5938,2.5938,18276777
2000-09-27,2.5807,2.6202,2.5412,2.5675,2.5675,38888316
2000-09-28,2.5543,2.5938,2.5412,2.5675,2.5675,13349524
2000-09-29,2.6069999999999998,2.6202,2.5543,2.5675,2.5675,20217742
2000-10-03,2.5675,2.5807,2.528,2.5675,2.5675,23671680
2000-10-04,2.5543,2.5807,2.5412,2.5675,2.5675,13904426
2000-10-05,2.5938,2.5938,2.5412,2.5543,2.5543,12219108
