Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,0.6193,0.6193,0.6005,0.6099,0.6099,226000
2000-01-04,0.6005,0.6099,0.5818,0.5911,0.5911,382000
2000-01-05,0.5724,0.5724,0.563,0.563,0.563,140000
2000-01-06,0.5442,0.5818,0.5442,0.5442,0.5442,556000
2000-01-07,0.563,0.563,0.5442,0.563,0.563,266000
2000-01-10,0.563,0.563,0.5536,0.5536,0.5536,204000
2000-01-11,0.5536,0.563,0.5536,0.563,0.563,280000
2000-01-12,0.5536,0.5724,0.5536,0.5724,0.5724,118500
2000-01-13,0.563,0.5818,0.563,0.5818,0.5818,382000
2000-01-14,0.5818,0.6099,0.5724,0.5724,0.5724,442000
2000-01-17,0.5724,0.5724,0.5724,0.5724,0.5724,51000
2000-01-18,0.563,0.5724,0.563,0.5724,0.5724,523781
2000-01-19,0.5536,0.5724,0.5442,0.5536,0.5536,188096
2000-01-20,0.563,0.563,0.5536,0.5536,0.5536,436000
2000-01-21,0.5442,0.563,0.5442,0.5536,0.5536,522000
2000-01-24,0.5536,0.5536,0.5536,0.5536,0.5536,48000
2000-01-25,0.5536,0.5536,0.5442,0.5536,0.5536,547312
2000-01-26,0.5442,0.5724,0.5442,0.5536,0.5536,1190536
2000-01-27,0.5536,0.5818,0.5536,0.563,0.563,1382086
2000-01-28,0.563,0.6193,0.563,0.6193,0.6193,1174000
2000-01-31,0.5911,0.5911,0.5818,0.5818,0.5818,272848
2000-02-01,0.6099,0.6193,0.5911,0.5911,0.5911,794270
2000-02-02,0.6005,0.6193,0.5911,0.6193,0.6193,1152000
2000-02-03,0.6381,0.6381,0.5911,0.6193,0.6193,637490
2000-02-08,0.6287,0.6287,0.5911,0.5911,0.5911,360000
2000-02-09,0.5724,0.5911,0.5724,0.5724,0.5724,982040
2000-02-10,0.5724,0.5911,0.563,0.5818,0.5818,470965
2000-02-11,0.563,0.5911,0.563,0.563,0.563,925166
2000-02-14,0.563,0.5818,0.563,0.563,0.563,576417
2000-02-15,0.5724,0.5911,0.563,0.563,0.563,228500
2000-02-16,0.563,0.6005,0.563,0.5818,0.5818,313792
2000-02-17,0.563,0.6193,0.563,0.6193,0.6193,787846
2000-02-18,0.5818,0.6381,0.5818,0.6005,0.6005,1393691
