Date,SHY,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2019/1/6,"4,500.00 ",300.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,300.00 ,300.00 ,200.00 ,0.00 
2019/1/13,(600.00),100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,200.00 ,100.00 ,0.00 
2019/1/20,200.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(100.00),(100.00),(100.00),0.00 
2019/1/27,(100.00),100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(200.00),0.00 
2019/2/3,(200.00),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,0.00 
2019/2/10,(100.00),(100.00),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,200.00 ,200.00 ,100.00 ,0.00 
2019/2/17,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(100.00),0.00 ,0.00 
2019/2/24,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(100.00),0.00 ,0.00 ,0.00 
2019/3/3,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2019/3/10,500.00 ,(100.00),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(100.00),(100.00),(100.00),0.00 
2019/3/17,(300.00),100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2019/3/24,(800.00),100.00 ,0.00 ,0.00 ,0.00 ,300.00 ,0.00 ,100.00 ,100.00 ,100.00 ,0.00 
2019/3/31,(500.00),100.00 ,0.00 ,0.00 ,0.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2019/4/7,(300.00),100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2019/4/14,(300.00),100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2019/4/21,(300.00),0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,300.00 ,0.00 ,0.00 ,0.00 ,0.00 
2019/4/28,300.00 ,0.00 ,0.00 ,0.00 ,0.00 ,(100.00),0.00 ,(100.00),(100.00),(100.00),0.00 
2019/5/5,"(1,100.00)",100.00 ,0.00 ,0.00 ,0.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,200.00 
2019/5/12,300.00 ,100.00 ,0.00 ,0.00 ,0.00 ,(100.00),(100.00),(100.00),(100.00),(300.00),0.00 
2019/5/19,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2019/5/26,(300.00),100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
