Date,SHY,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,Cash
2018-01-07,4400.0,300.0,300.0,0.0,800.0,0.0,300.0,0.0,0.0,0.0,0.0,3475.889999999984
2018-01-14,3500.0,300.0,700.0,0.0,1700.0,0.0,700.0,0.0,0.0,0.0,0.0,1458.909999999978
2018-01-21,3500.0,300.0,700.0,0.0,1700.0,0.0,700.0,0.0,0.0,0.0,0.0,1458.9099999999808
2018-01-28,3300.0,300.0,700.0,0.0,1700.0,200.0,700.0,0.0,0.0,0.0,0.0,2243.189999999987
2018-02-04,2900.0,300.0,700.0,0.0,1600.0,600.0,700.0,0.0,0.0,0.0,0.0,6348.359999999972
2018-02-11,2700.0,300.0,800.0,0.0,1700.0,600.0,700.0,0.0,0.0,0.0,100.0,3494.1099999999824
2018-02-18,2400.0,200.0,800.0,300.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,4507.059999999982
2018-02-25,2200.0,200.0,700.0,700.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,471.1699999999828
2018-03-04,2200.0,200.0,700.0,700.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,471.1699999999828
2018-03-11,2200.0,200.0,800.0,700.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,1364.9099999999635
2018-03-18,2200.0,200.0,700.0,700.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,7351.4799999999605
2018-03-25,2200.0,200.0,800.0,700.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,1554.6999999999543
2018-04-01,2100.0,200.0,800.0,700.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,3381.7199999999348
2018-04-08,2100.0,200.0,800.0,700.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,3381.7199999999466
2018-04-15,2200.0,200.0,800.0,600.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,1742.189999999955
2018-04-22,2200.0,200.0,800.0,600.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,1742.1899999999441
2018-04-29,2200.0,200.0,800.0,600.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,1742.1899999999696
2018-05-06,2200.0,200.0,800.0,600.0,1700.0,600.0,700.0,0.0,0.0,0.0,400.0,1742.1899999999596
2018-05-13,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5734.1499999999505
2018-05-20,2300.0,200.0,800.0,600.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,355.37999999994736
2018-05-27,2300.0,200.0,800.0,600.0,1700.0,600.0,600.0,0.0,0.0,0.0,400.0,355.3799999999619
2018-06-03,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999949
2018-06-10,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999949
2018-06-17,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.9299999999575
2018-06-24,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999948
2018-07-01,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999919
2018-07-08,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999905
2018-07-15,2200.0,200.0,800.0,600.0,1800.0,600.0,600.0,0.0,0.0,0.0,400.0,5793.929999999892
